location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Maratea,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Mediopadana R.Emilia,HAS_COORDINATES,44.7244492,10.6527796,20260220T165619Z,20260221T144100Z,20,NO
Milano Centrale,HAS_COORDINATES,45.487011,9.20547962,20260220T165619Z,20260221T144100Z,21,NO
Milano Expo Rho,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,20260221T144100Z,18,NO
Milano Rogoredo,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,20260221T144100Z,21,NO
Molfetta,HAS_COORDINATES,41.1959305,16.5967808,20260220T165619Z,20260221T144100Z,17,NO
Monfalcone,HAS_COORDINATES,45.8075905,13.5429621,20260220T165619Z,20260221T144100Z,16,NO
Napoli,HAS_COORDINATES,40.8529167,14.2729483,20260220T165619Z,20260221T144100Z,21,NO
Napoli Afragola,HAS_COORDINATES,40.9317589,14.3313503,20260220T165619Z,20260221T144100Z,21,NO
Padova,HAS_COORDINATES,45.4177589,11.8805075,20260220T165619Z,20260221T144100Z,20,NO
Paola,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Peschiera,HAS_COORDINATES,45.4384995,10.7025099,20260220T165619Z,20260221T144100Z,18,NO
Pordenone,HAS_COORDINATES,45.9563904,12.6538897,20260220T165619Z,20260221T135133Z,15,NO
Portogruaro,HAS_COORDINATES,45.7812233,12.8322411,20260220T165619Z,20260221T144100Z,16,NO
Reggio Calabria,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Roma Termini,HAS_COORDINATES,41.9011269,12.5018454,20260220T165619Z,20260221T144100Z,21,NO
Roma Tiburtina,HAS_COORDINATES,41.9111748,12.5320101,20260220T165619Z,20260221T144100Z,20,NO
Rosarno,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Rovereto,HAS_COORDINATES,45.8909607,11.0336008,20260220T172318Z,20260221T104247Z,14,NO
Rovigo,HAS_COORDINATES,45.0768204,11.7809496,20260221T055411Z,20260221T144100Z,10,NO
S.Donà-Jesolo,HAS_COORDINATES,45.6397552,12.5595999,20260220T165619Z,20260221T144100Z,16,NO
Salerno,HAS_COORDINATES,40.6755219,14.7723999,20260220T165619Z,20260221T144100Z,20,NO
Sapri,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Torino Porta di Susa,HAS_COORDINATES,45.0715408,7.66585016,20260220T165619Z,20260221T144100Z,20,NO
Torino Porta Nuova,HAS_COORDINATES,45.0609131,7.67749977,20260220T165619Z,20260221T144100Z,20,NO
Trani,HAS_COORDINATES,41.2728004,16.4176998,20260220T165619Z,20260221T144100Z,17,NO
Trento,HAS_COORDINATES,46.0722198,11.1188898,20260220T172318Z,20260221T104247Z,14,NO
Treviso C.le,HAS_COORDINATES,45.6596603,12.2451897,20260220T165619Z,20260221T135133Z,15,NO
Trieste Airport,HAS_COORDINATES,45.8175011,13.4861097,20260220T165619Z,20260221T144100Z,16,NO
Trieste C.le,HAS_COORDINATES,45.6584015,13.7714195,20260220T165619Z,20260221T144100Z,16,NO
Udine,HAS_COORDINATES,46.0556908,13.2418699,20260220T165619Z,20260221T135133Z,15,NO
Vallo d.Lucania,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Venezia Mestre,HAS_COORDINATES,45.4824524,12.2317038,20260220T165619Z,20260221T144100Z,20,NO
Venezia Santa Lucia,HAS_COORDINATES,45.4410706,12.3210316,20260220T165619Z,20260221T144100Z,20,NO
Verona Porta Nuova,HAS_COORDINATES,45.4290199,10.9824781,20260220T165619Z,20260221T144100Z,21,NO
Vibo-Pizzo,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Vicenza,HAS_COORDINATES,45.5410995,11.5407772,20260220T165619Z,20260221T144100Z,19,NO
Villa S.Giovanni,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
