location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Agropoli Castellabate,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Bari Centrale,HAS_COORDINATES,41.1178474,16.8697567,20260220T165619Z,20260221T144100Z,17,NO
Barletta,HAS_COORDINATES,41.3150482,16.2787895,20260220T165619Z,20260221T144100Z,17,NO
Benevento,HAS_COORDINATES,41.1418495,14.7699404,20260220T165619Z,20260221T144100Z,17,NO
Bisceglie,HAS_COORDINATES,41.235569,16.4992409,20260220T165619Z,20260221T144100Z,17,NO
Bologna centrale,HAS_COORDINATES,44.5059052,11.3433666,20260220T165619Z,20260221T144100Z,21,NO
Bolzano,HAS_COORDINATES,46.4964256,11.3588104,20260220T172318Z,20260221T104247Z,14,NO
Brescia,HAS_COORDINATES,45.5321617,10.2128696,20260220T165619Z,20260221T144100Z,20,NO
Caserta,HAS_COORDINATES,41.0688515,14.3270874,20260220T165619Z,20260221T144100Z,17,NO
Conegliano,HAS_COORDINATES,45.8845596,12.2987499,20260220T165619Z,20260221T135133Z,15,NO
Desenzano,HAS_COORDINATES,45.4626312,10.5363703,20260220T165619Z,20260221T144100Z,19,NO
Ferrara,HAS_COORDINATES,44.8428154,11.6038637,20260220T165619Z,20260221T144100Z,20,NO
Firenze Santa Maria Novella,HAS_COORDINATES,43.7849312,11.24403,20260220T165619Z,20260221T144100Z,21,NO
Foggia,HAS_COORDINATES,41.4659195,15.5559101,20260220T165619Z,20260221T144100Z,17,NO
Genova Brignole,HAS_COORDINATES,44.4069405,8.94721985,20260220T165619Z,20260221T113257Z,17,NO
Genova Piazza Principe,HAS_COORDINATES,44.4174995,8.92107391,20260220T165619Z,20260221T113257Z,17,NO
Lamezia Terme C,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,20260221T144100Z,10,NO
Latisana-Lignano,HAS_COORDINATES,45.7773514,13.0011301,20260220T165619Z,20260221T144100Z,16,NO
