location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Agropoli Castellabate,HAS_COORDINATES,40.3515701,15.0019531,20260221T055411Z,20260223T134148Z,31,NO
Bari Centrale,HAS_COORDINATES,41.1178474,16.8697567,20260220T165619Z,20260223T134148Z,48,NO
Barletta,HAS_COORDINATES,41.3150482,16.2787895,20260220T165619Z,20260223T134148Z,48,NO
Benevento,HAS_COORDINATES,41.1418495,14.7699404,20260220T165619Z,20260223T134148Z,48,NO
Bisceglie,HAS_COORDINATES,41.235569,16.4992409,20260220T165619Z,20260223T134148Z,48,NO
Bologna centrale,HAS_COORDINATES,44.5059052,11.3433666,20260220T165619Z,20260223T134148Z,55,NO
Bolzano,HAS_COORDINATES,46.4964256,11.3588104,20260220T172318Z,20260223T134148Z,39,NO
Brescia,HAS_COORDINATES,45.5321617,10.2128696,20260220T165619Z,20260223T134148Z,53,NO
Caserta,HAS_COORDINATES,41.0688515,14.3270874,20260220T165619Z,20260223T134148Z,48,NO
Conegliano,HAS_COORDINATES,45.8845596,12.2987499,20260220T165619Z,20260223T134148Z,37,NO
Desenzano,HAS_COORDINATES,45.4626312,10.5363703,20260220T165619Z,20260223T134148Z,52,NO
Ferrara,HAS_COORDINATES,44.8428154,11.6038637,20260220T165619Z,20260223T134148Z,53,NO
Firenze Santa Maria Novella,HAS_COORDINATES,43.7849312,11.24403,20260220T165619Z,20260223T134148Z,55,NO
Foggia,HAS_COORDINATES,41.4659195,15.5559101,20260220T165619Z,20260223T134148Z,48,NO
Genova Brignole,HAS_COORDINATES,44.4069405,8.94721985,20260220T165619Z,20260223T134148Z,38,NO
Genova Piazza Principe,HAS_COORDINATES,44.4174995,8.92107391,20260220T165619Z,20260223T134148Z,38,NO
Lamezia Terme C,HAS_COORDINATES,38.9667206,16.3199902,20260221T055411Z,20260223T134148Z,31,NO
Latisana-Lignano,HAS_COORDINATES,45.7773514,13.0011301,20260220T165619Z,20260223T134148Z,28,NO
Maratea,HAS_COORDINATES,39.9948883,15.7096701,20260221T055411Z,20260223T134148Z,31,NO
Mediopadana R.Emilia,HAS_COORDINATES,44.7244492,10.6527796,20260220T165619Z,20260223T134148Z,54,NO
Milano Centrale,HAS_COORDINATES,45.487011,9.20547962,20260220T165619Z,20260223T134148Z,55,NO
Milano Expo Rho,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,20260223T134148Z,50,NO
Milano Rogoredo,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,20260223T134148Z,55,NO
Molfetta,HAS_COORDINATES,41.1959305,16.5967808,20260220T165619Z,20260223T134148Z,48,NO
Monfalcone,HAS_COORDINATES,45.8075905,13.5429621,20260220T165619Z,20260223T134148Z,28,NO
Napoli,HAS_COORDINATES,40.8529167,14.2729483,20260220T165619Z,20260223T134148Z,55,NO
Napoli Afragola,HAS_COORDINATES,40.9317589,14.3313503,20260220T165619Z,20260223T134148Z,55,NO
Padova,HAS_COORDINATES,45.4177589,11.8805075,20260220T165619Z,20260223T134148Z,54,NO
Paola,HAS_COORDINATES,39.3594513,16.0329208,20260221T055411Z,20260223T134148Z,31,NO
Peschiera,HAS_COORDINATES,45.4384995,10.7025099,20260220T165619Z,20260223T134148Z,48,NO
Pordenone,HAS_COORDINATES,45.9563904,12.6538897,20260220T165619Z,20260223T134148Z,37,NO
Portogruaro,HAS_COORDINATES,45.7812233,12.8322411,20260220T165619Z,20260223T134148Z,28,NO
Reggio Calabria,HAS_COORDINATES,38.1038132,15.6359253,20260221T055411Z,20260223T134148Z,31,NO
Roma Termini,HAS_COORDINATES,41.9011269,12.5018454,20260220T165619Z,20260223T134148Z,55,NO
Roma Tiburtina,HAS_COORDINATES,41.9111748,12.5320101,20260220T165619Z,20260223T134148Z,54,NO
Rosarno,HAS_COORDINATES,38.4884605,15.9700603,20260221T055411Z,20260223T134148Z,31,NO
Rovereto,HAS_COORDINATES,45.8909607,11.0336008,20260220T172318Z,20260223T134148Z,39,NO
Rovigo,HAS_COORDINATES,45.0768204,11.7809496,20260221T055411Z,20260223T134148Z,34,NO
S.Donà-Jesolo,HAS_COORDINATES,45.6397552,12.5595999,20260220T165619Z,20260223T134148Z,28,NO
Salerno,HAS_COORDINATES,40.6755219,14.7723999,20260220T165619Z,20260223T134148Z,52,NO
Sapri,HAS_COORDINATES,40.0778694,15.6270304,20260221T055411Z,20260223T134148Z,31,NO
