location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Agropoli Castellabate,HAS_COORDINATES,40.3515701,15.0019531,20260221T055411Z,20260223T150150Z,34,NO
Bari Centrale,HAS_COORDINATES,41.1178474,16.8697567,20260220T165619Z,20260223T150150Z,51,NO
Barletta,HAS_COORDINATES,41.3150482,16.2787895,20260220T165619Z,20260223T150150Z,51,NO
Benevento,HAS_COORDINATES,41.1418495,14.7699404,20260220T165619Z,20260223T150150Z,51,NO
Bisceglie,HAS_COORDINATES,41.235569,16.4992409,20260220T165619Z,20260223T150150Z,51,NO
Bologna centrale,HAS_COORDINATES,44.5059052,11.3433666,20260220T165619Z,20260223T150150Z,58,NO
Bolzano,HAS_COORDINATES,46.4964256,11.3588104,20260220T172318Z,20260223T150150Z,42,NO
Brescia,HAS_COORDINATES,45.5321617,10.2128696,20260220T165619Z,20260223T150150Z,56,NO
Caserta,HAS_COORDINATES,41.0688515,14.3270874,20260220T165619Z,20260223T150150Z,51,NO
Conegliano,HAS_COORDINATES,45.8845596,12.2987499,20260220T165619Z,20260223T150150Z,40,NO
Desenzano,HAS_COORDINATES,45.4626312,10.5363703,20260220T165619Z,20260223T150150Z,55,NO
Ferrara,HAS_COORDINATES,44.8428154,11.6038637,20260220T165619Z,20260223T150150Z,56,NO
Firenze Santa Maria Novella,HAS_COORDINATES,43.7849312,11.24403,20260220T165619Z,20260223T150150Z,58,NO
Foggia,HAS_COORDINATES,41.4659195,15.5559101,20260220T165619Z,20260223T150150Z,51,NO
Genova Brignole,HAS_COORDINATES,44.4069405,8.94721985,20260220T165619Z,20260223T150150Z,41,NO
Genova Piazza Principe,HAS_COORDINATES,44.4174995,8.92107391,20260220T165619Z,20260223T150150Z,41,NO
Lamezia Terme C,HAS_COORDINATES,38.9667206,16.3199902,20260221T055411Z,20260223T150150Z,34,NO
Latisana-Lignano,HAS_COORDINATES,45.7773514,13.0011301,20260220T165619Z,20260223T150150Z,31,NO
Maratea,HAS_COORDINATES,39.9948883,15.7096701,20260221T055411Z,20260223T150150Z,34,NO
Mediopadana R.Emilia,HAS_COORDINATES,44.7244492,10.6527796,20260220T165619Z,20260223T150150Z,57,NO
Milano Centrale,HAS_COORDINATES,45.487011,9.20547962,20260220T165619Z,20260223T150150Z,58,NO
Milano Expo Rho,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,20260223T150150Z,53,NO
Milano Rogoredo,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,20260223T150150Z,58,NO
Molfetta,HAS_COORDINATES,41.1959305,16.5967808,20260220T165619Z,20260223T150150Z,51,NO
Monfalcone,HAS_COORDINATES,45.8075905,13.5429621,20260220T165619Z,20260223T150150Z,31,NO
Napoli,HAS_COORDINATES,40.8529167,14.2729483,20260220T165619Z,20260223T150150Z,58,NO
Napoli Afragola,HAS_COORDINATES,40.9317589,14.3313503,20260220T165619Z,20260223T150150Z,58,NO
Padova,HAS_COORDINATES,45.4177589,11.8805075,20260220T165619Z,20260223T150150Z,57,NO
Paola,HAS_COORDINATES,39.3594513,16.0329208,20260221T055411Z,20260223T150150Z,34,NO
Peschiera,HAS_COORDINATES,45.4384995,10.7025099,20260220T165619Z,20260223T150150Z,51,NO
Pordenone,HAS_COORDINATES,45.9563904,12.6538897,20260220T165619Z,20260223T150150Z,40,NO
