location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Portogruaro,HAS_COORDINATES,45.7812233,12.8322411,20260220T165619Z,20260223T150150Z,31,NO
Reggio Calabria,HAS_COORDINATES,38.1038132,15.6359253,20260221T055411Z,20260223T150150Z,34,NO
Roma Termini,HAS_COORDINATES,41.9011269,12.5018454,20260220T165619Z,20260223T150150Z,58,NO
Roma Tiburtina,HAS_COORDINATES,41.9111748,12.5320101,20260220T165619Z,20260223T150150Z,57,NO
Rosarno,HAS_COORDINATES,38.4884605,15.9700603,20260221T055411Z,20260223T150150Z,34,NO
Rovereto,HAS_COORDINATES,45.8909607,11.0336008,20260220T172318Z,20260223T150150Z,42,NO
Rovigo,HAS_COORDINATES,45.0768204,11.7809496,20260221T055411Z,20260223T150150Z,37,NO
S.Donà-Jesolo,HAS_COORDINATES,45.6397552,12.5595999,20260220T165619Z,20260223T150150Z,31,NO
Salerno,HAS_COORDINATES,40.6755219,14.7723999,20260220T165619Z,20260223T150150Z,55,NO
Sapri,HAS_COORDINATES,40.0778694,15.6270304,20260221T055411Z,20260223T150150Z,34,NO
Torino Porta di Susa,HAS_COORDINATES,45.0715408,7.66585016,20260220T165619Z,20260223T150150Z,57,NO
Torino Porta Nuova,HAS_COORDINATES,45.0609131,7.67749977,20260220T165619Z,20260223T150150Z,57,NO
Trani,HAS_COORDINATES,41.2728004,16.4176998,20260220T165619Z,20260223T150150Z,51,NO
Trento,HAS_COORDINATES,46.0722198,11.1188898,20260220T172318Z,20260223T150150Z,42,NO
Treviso C.le,HAS_COORDINATES,45.6596603,12.2451897,20260220T165619Z,20260223T150150Z,40,NO
Trieste Airport,HAS_COORDINATES,45.8175011,13.4861097,20260220T165619Z,20260223T150150Z,31,NO
Trieste C.le,HAS_COORDINATES,45.6584015,13.7714195,20260220T165619Z,20260223T150150Z,31,NO
Udine,HAS_COORDINATES,46.0556908,13.2418699,20260220T165619Z,20260223T150150Z,40,NO
Vallo d.Lucania,HAS_COORDINATES,40.2293892,15.1581097,20260221T055411Z,20260223T150150Z,34,NO
Venezia Mestre,HAS_COORDINATES,45.4824524,12.2317038,20260220T165619Z,20260223T150150Z,57,NO
Venezia Santa Lucia,HAS_COORDINATES,45.4410706,12.3210316,20260220T165619Z,20260223T150150Z,57,NO
Verona Porta Nuova,HAS_COORDINATES,45.4290199,10.9824781,20260220T165619Z,20260223T150150Z,58,NO
Vibo-Pizzo,HAS_COORDINATES,38.7264404,16.1505604,20260221T055411Z,20260223T150150Z,34,NO
Vicenza,HAS_COORDINATES,45.5410995,11.5407772,20260220T165619Z,20260223T150150Z,55,NO
Villa S.Giovanni,HAS_COORDINATES,38.2165718,15.6342001,20260221T055411Z,20260223T150150Z,34,NO
