location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Agropoli Castellabate,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Bari Centrale,HAS_COORDINATES,41.1178474,16.8697567,20260220T165619Z,local_20260223T093238Z,42,YES
Barletta,HAS_COORDINATES,41.3150482,16.2787895,20260220T165619Z,local_20260223T093238Z,42,YES
Benevento,HAS_COORDINATES,41.1418495,14.7699404,20260220T165619Z,local_20260223T093238Z,42,YES
Bisceglie,HAS_COORDINATES,41.235569,16.4992409,20260220T165619Z,local_20260223T093238Z,42,YES
Bologna centrale,HAS_COORDINATES,44.5059052,11.3433666,20260220T165619Z,local_20260223T093238Z,49,YES
Bolzano,HAS_COORDINATES,46.4964256,11.3588104,20260220T172318Z,local_20260223T093238Z,33,YES
Brescia,HAS_COORDINATES,45.5321617,10.2128696,20260220T165619Z,local_20260223T093238Z,47,YES
Caserta,HAS_COORDINATES,41.0688515,14.3270874,20260220T165619Z,local_20260223T093238Z,42,YES
Conegliano,HAS_COORDINATES,45.8845596,12.2987499,20260220T165619Z,local_20260223T093238Z,31,YES
Desenzano,HAS_COORDINATES,45.4626312,10.5363703,20260220T165619Z,local_20260223T093238Z,46,YES
Ferrara,HAS_COORDINATES,44.8428154,11.6038637,20260220T165619Z,local_20260223T093238Z,47,YES
Firenze Santa Maria Novella,HAS_COORDINATES,43.7849312,11.24403,20260220T165619Z,local_20260223T093238Z,49,YES
Foggia,HAS_COORDINATES,41.4659195,15.5559101,20260220T165619Z,local_20260223T093238Z,42,YES
Genova Brignole,HAS_COORDINATES,44.4069405,8.94721985,20260220T165619Z,local_20260223T093238Z,32,YES
Genova Piazza Principe,HAS_COORDINATES,44.4174995,8.92107391,20260220T165619Z,local_20260223T093238Z,32,YES
Lamezia Terme C,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Latisana-Lignano,HAS_COORDINATES,45.7773514,13.0011301,20260220T165619Z,local_20260223T093238Z,22,YES
Maratea,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Mediopadana R.Emilia,HAS_COORDINATES,44.7244492,10.6527796,20260220T165619Z,local_20260223T093238Z,48,YES
Milano Centrale,HAS_COORDINATES,45.487011,9.20547962,20260220T165619Z,local_20260223T093238Z,49,YES
Milano Expo Rho,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,local_20260223T093238Z,44,YES
Milano Rogoredo,HAS_COORDINATES,45.52108,9.08840275,20260220T165619Z,local_20260223T093238Z,49,YES
Molfetta,HAS_COORDINATES,41.1959305,16.5967808,20260220T165619Z,local_20260223T093238Z,42,YES
Monfalcone,HAS_COORDINATES,45.8075905,13.5429621,20260220T165619Z,local_20260223T093238Z,22,YES
Napoli,HAS_COORDINATES,40.8529167,14.2729483,20260220T165619Z,local_20260223T093238Z,49,YES
Napoli Afragola,HAS_COORDINATES,40.9317589,14.3313503,20260220T165619Z,local_20260223T093238Z,49,YES
Padova,HAS_COORDINATES,45.4177589,11.8805075,20260220T165619Z,local_20260223T093238Z,48,YES
Paola,NEW_NOT_IN_COORDINATES,,,20260221T055411Z,local_20260223T093238Z,25,YES
Peschiera,HAS_COORDINATES,45.4384995,10.7025099,20260220T165619Z,local_20260223T093238Z,42,YES
