route_id,service_id,trip_id,trip_short_name
R_8902,SVC_20260220,T_8902_20260220,8902
R_8911,SVC_20260220,T_8911_20260220,8911
R_8914,SVC_20260220,T_8914_20260220,8914
R_8916,SVC_20260220,T_8916_20260220,8916
R_8918,SVC_20260220,T_8918_20260220,8918
R_8919,SVC_20260220,T_8919_20260220,8919
R_8929,SVC_20260220,T_8929_20260220,8929
R_8959,SVC_20260220,T_8959_20260220,8959
R_8960,SVC_20260220,T_8960_20260220,8960
R_8983,SVC_20260220,T_8983_20260220,8983
R_8984,SVC_20260220,T_8984_20260220,8984
R_8986,SVC_20260220,T_8986_20260220,8986
R_8987,SVC_20260220,T_8987_20260220,8987
R_9928,SVC_20260220,T_9928_20260220,9928
R_9935,SVC_20260220,T_9935_20260220,9935
R_9939,SVC_20260220,T_9939_20260220,9939
R_9947,SVC_20260220,T_9947_20260220,9947
R_9982,SVC_20260220,T_9982_20260220,9982
R_9983,SVC_20260220,T_9983_20260220,9983
R_9984,SVC_20260220,T_9984_20260220,9984
R_9985,SVC_20260220,T_9985_20260220,9985
R_9986,SVC_20260220,T_9986_20260220,9986
R_9987,SVC_20260220,T_9987_20260220,9987
